Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
Kazakhstan,81.263,85.094,88.49,88.417,89.657,87.379,85.99,83.166,77.889,66.777,66.739,58.747,52,49.8,47.3,48.621,53.849,55.286,60.466,63.331,64.169,67.747,72.411,75.881,74.332,78.09,81.786,87.63,97.289,90.011,86.696,89.619,97.596,101.718,101.552,103.597,,,2760.385
Kenya,,,,,,,,,,,,,,,,4.054,4.593,4.752,5.098,5.453,5.862,6.324,6.53,6.417,6.581,7.231,7.535,7.944,8.477,8.018,9.816,9.393,10.557,11.105,11.426,,,,147.166
Kiribati,,,,,,,,,,,,,,,,0.013,0.011,0.013,0.016,0.019,0.021,0.022,0.022,0.022,0.022,0.024,0.025,0.025,0.025,0.025,0.028,0.03,0.03,0.03,0.03,,,,0.453
Kosovo,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4.856,4.684,4.867,5.461,5.594,6.144,5.12,5.762,5.638,5.576,5.578,5.994,,,,65.274
Kuwait,15.417,16.935,18.092,19.599,21.085,18.477,10.78,16.885,20.178,22.802,23.724,25.475,26.724,29.984,31.576,30.384,32.241,34.18,37.414,38.781,41.11,44.751,45.828,48.644,50.023,53.657,54.04,57.452,57.324,61.232,64.191,65.883,68.426,69.663,71.536,,,,1344.493
Kyrgyzstan,,,,,,,,,,,,,,,,15.708,14.662,12.84,15.317,16.038,14.637,14.275,14.577,11.588,10.929,11.929,14.956,14.967,13.855,14.363,12.803,13.041,15.293,15.309,14.84,,,,281.927
Laos,,,,,,,,,,,,,,,,3.277,3.297,3.212,2.832,2.998,3.51,3.6,3.37,3.72,3.37,8.365,12.839,12.926,15.356,15.126,16.031,25.02,30.201,33.465,33.765,,,,236.28
Latvia,4.961,5.184,5.937,5.11,5.801,6.65,5.65,3.84,3.93,4.44,3.99,3.12,4.51,5.8,4.11,4.14,4.27,3.97,3.97,4.69,4.92,4.89,4.76,5.27,5.57,6.63,6.09,6.17,6.2,5.14,5.54,6.42,7.53,6.72,6.44,5.77,5.97,,194.103
Lebanon,,,,,,,,,,,,,,,,9.195,9.574,11.051,11.981,11.786,11.74,10.948,11.377,12.573,12.976,14.817,15.369,15.535,17.751,16.897,17.549,18.256,19.981,19.984,20.789,,,,290.129
Lesotho,,,,,,,,,,,,,,,,0.288,0.285,0.314,0.325,0.297,0.459,0.525,0.554,0.584,0.648,0.694,0.49,0.486,0.515,0.521,0.533,0.523,0.54,0.54,0.542,,,,9.663
Liberia,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.28,0.28,0.282,0.282,0.291,0.376,0.376,0.374,0.4,,,,5.341
Libya,,,,,,,,,,,,,,,,14.566,15.144,16.479,17.806,18.99,21.312,23.269,24.66,28.878,29.182,30.605,24.439,32.219,35.639,35.468,35.261,29.535,31.286,32.121,31.075,,,,527.934
Lithuania,20.962,22.416,22.755,26,29.158,28.36,29.33,18.53,13.91,9.73,13.49,16.2,14.35,17.1,13.02,11.03,14.29,17.15,18.66,18.58,14.22,11.87,13.23,13.09,14.37,4.75,3.99,4.3,3.98,3.46,4,3.41,3.35,2.75,3.14,4.21,3.64,,486.781
Luxembourg,0.939,1.02,1.036,1.334,1.38,0.62,0.7,0.66,0.67,0.59,0.49,0.45,0.41,0.37,0.36,0.4,0.87,2.8,2.79,3.37,3.35,3.54,3.19,2.72,3.15,3.24,2.64,2.76,1.84,1.91,1.34,0.79,0.9,0.96,1.07,1.23,1.39,,57.279
Macau,,,,,,,,,,,,,,,,1.389,1.41,1.515,1.616,1.814,1.905,1.568,1.429,1.138,1.378,1.012,0.833,0.527,0.389,0.603,0.904,0.929,1.377,0.617,0.78,,,,23.133
Madagascar,,,,,,,,,,,,,,,,0.78,0.886,0.866,0.99,1.1,1.111,1.134,1.184,1.232,1.235,1.329,1.348,1.701,1.856,1.97,2.052,2.167,2.217,2.276,2.348,,,,29.782
Malawi,,,,,,,,,,,,,,,,1.241,1.269,1.332,1.351,1.489,1.52,1.554,1.585,1.73,1.714,1.951,2.009,2.086,2.094,2.204,2.204,2.193,2.087,1.629,1.434,,,,34.676
Malaysia,14.944,16.131,17.421,19.352,21.515,23.016,26.552,31.381,34.877,39.754,46.575,53.409,59.935,64.141,68.17,65.892,66.555,70.055,74.701,77.635,77.971,84.762,91.996,92.316,109.467,117.693,121.987,126.823,131.854,139.5,143.454,148.66,156.171,159.946,162.834,,,,2757.445
Maldives,,,,,,,,,,,,,,,,0.098,0.109,0.118,0.133,0.15,0.174,0.199,0.232,0.265,0.282,0.343,0.365,0.391,0.397,0.505,0.562,0.603,0.604,0.607,0.623,,,,6.76
Mali,,,,,,,,,,,,,,,,0.399,0.402,0.404,0.434,0.45,0.782,0.837,0.823,1,1.123,1.709,1.891,2.251,2.277,2.35,2.318,2.77,3.294,3.53,3.933,,,,32.977
Malta,,,,,,1.11,1.42,1.49,1.5,1.54,1.63,1.66,1.69,1.72,1.85,1.92,1.94,2.05,2.24,2.22,2.24,2.26,2.3,2.31,2.17,2.11,2.17,2.3,2.26,2.25,1.3,0.86,1.65,1.97,2.08,2.12,2.46,,60.79
Martinique,,,,,,,,,,,,,,,,1.048,1.203,1.249,1.301,1.341,1.404,1.46,1.508,1.548,1.589,1.526,1.459,1.44,1.429,1.412,1.426,1.443,1.456,1.541,1.578,,,,28.361
Mauritania,,,,,,,,,,,,,,,,0.23,0.278,0.501,0.475,0.518,0.499,0.453,0.478,0.547,0.58,0.632,0.83,0.911,0.939,0.983,1.136,1.113,0.978,0.948,0.856,,,,13.885
Mauritius,,,,,,,,,,,,,,,,1.681,1.801,1.841,1.971,2.05,2.145,2.214,2.321,2.438,2.457,2.566,2.599,2.663,2.749,2.796,2.857,2.898,2.97,2.982,3.023,,,,49.022
Mexico,96.208,99.59,106.165,112.231,120.047,117.592,128.571,132.276,134.643,146.128,150.356,156.591,166.748,181.059,189.979,194.122,201.173,204.743,202.527,220.585,231.362,236.785,243.927,247.079,245.447,261.151,286.478,290.897,281.548,286.083,294.393,302.9,305.103,317.93,313.654,302.871,,,7508.942
Middle Africa,9.739,10.05,10.088,10.238,11.942,10.888,10.614,11.402,10.753,10.308,11.44,11.616,11.059,10.943,11.517,12.627,13.045,13.22,13.951,15.632,16.386,18.642,18.642,20.14,21.14,22.155,22.669,23.344,27.647,30.356,32.621,33.81,36.097,38.681,40.269,,,,633.671
Middle East,179.561,193.408,210.967,225.059,239.058,253.661,244.232,279.987,312.283,332.831,347.342,364.802,389.534,419.827,440.239,470.702,501.217,538.488,566.225,600.226,647.969,686.572,737.305,762.775,807.896,873.681,889.722,948.18,981.972,1050.908,1109.043,1143.585,1197.021,1224.13,1264.655,,,,21435.063
Mongolia,,,,,,,,,,,,,,,,2.82,2.892,2.987,3.018,3.187,3.306,3.434,3.607,3.904,3.952,4.059,4.268,4.532,4.722,5.062,5.195,5.342,5.69,6.169,6.47,6.609,,,91.225
Montenegro,,,,,,,,,,,,,,,,0,0,0,0,0,2.87,2.95,2.14,2.83,2.76,4.02,2.65,2.85,3.94,3.17,3,3.14,2.48,3.8,3.42,3.23,3.65,,52.9
Montserrat,,,,,,,,,,,,,,,,0.011,0.011,0.019,0.02,0.02,0.02,0.02,0.021,0.022,0.022,0.022,0.021,0.021,0.022,0.023,0.023,0.019,0.018,0.016,0.014,,,,0.385
Morocco,7.345,7.764,8.001,8.984,9.024,9.628,9.205,9.719,9.91,11.47,12.092,12.538,13.593,12.968,12.895,12.131,14.199,15.162,16.487,17.497,18.778,19.265,19.338,19.639,20.028,22.464,23.646,25.825,25.356,26.224,27.998,28.884,29.899,32.564,38.402,,,,608.922
Mozambique,,,,,,,,,,,,,,,,9.604,11.778,12.615,10.835,11.632,13.196,14.63,15.955,15.024,16.837,16.553,16.729,15.082,14.792,17.581,19.639,18.467,16.734,16.417,15.343,,,,299.443
Myanmar,,,,,,,,,,,,,,,,4.905,4.499,4.99,5.377,5.393,5.807,5.963,6.198,6.43,6.811,7.348,9.657,10.483,11.963,13.763,15.496,17.297,21.73,23.812,24.846,,,,212.768
Namibia,,,,,,,,,,,,,,,,1.398,1.362,1.447,1.51,1.587,1.672,1.678,1.592,1.642,1.472,1.298,1.423,1.64,1.337,1.512,1.559,1.461,1.67,1.183,1.061,,,,29.504
Nauru,,,,,,,,,,,,,,,,0.031,0.028,0.028,0.029,0.029,0.03,0.031,0.02,0.019,0.021,0.023,0.023,0.024,0.023,0.024,0.024,0.03,0.033,0.035,0.039,,,,0.544
Nepal,,,,,,,,,,,,,,,,1.679,1.856,2.115,2.244,2.391,2.501,2.717,2.772,2.794,3.095,3.182,3.468,3.529,3.497,3.774,3.443,4.22,4.67,4.941,5.42,,,,64.308
Netherlands,62.975,67.17,68.448,69.654,73.081,71.8,74.25,77.05,76.94,79.66,80.88,85.2,86.28,90.88,86.53,89.39,93.43,95.75,96.6,101.01,99.68,98.69,105,107.4,113.56,119.11,113.81,103.07,101.5,103.22,108.75,113.78,115.61,113.49,120.44,122.73,120.79,,3507.608
Netherlands Antilles,,,,,,,,,,,,,,,,1.084,1.059,1.055,1.14,1.167,1.203,1.175,1.211,1.197,1.285,1.253,1.275,1.029,0.967,0.939,0.955,0.95,0.954,0.875,0.842,,,,21.615
New Caledonia,,,,,,,,,,,,,,,,1.569,1.644,1.661,1.669,1.594,1.79,1.778,1.835,1.782,1.834,2.016,2.149,2.169,2.38,2.846,2.747,2.948,3.033,2.947,3.02,,,,43.411
New Zealand,28.465,29.345,29.753,31.086,31.358,32.264,33.297,32.898,34.275,34.852,36.061,36.473,37.109,37.611,37.818,38.332,38.489,39.681,39.708,41.518,41.813,42.437,42.61,42.672,42.474,43.537,43.165,42.916,41.972,42.317,42.986,42.559,42.972,43.204,43.422,42.819,,,1384.268
Nicaragua,,,,,,,,,,,,,,,,2.129,2.34,2.704,2.608,2.7,3.008,3.1,2.929,3.229,3.556,3.518,3.674,3.898,4.042,4.329,4.442,4.455,4.401,4.515,4.495,,,,70.072
Niger,,,,,,,,,,,,,,,,0.178,0.156,0.172,0.18,0.189,0.219,0.206,0.209,0.212,0.239,0.273,0.321,0.375,0.417,0.417,0.499,0.495,0.52,0.571,0.588,,,,6.436
Nigeria,,,,,,,,,,,,,,,,14.144,14.844,20.676,19.358,23.237,22.528,22.049,21.924,20.143,18.83,24.889,25.723,27.304,27.46,30.612,30.808,32.008,32.794,34.453,35.669,38.019,,,537.472
Niue,,,,,,,,,,,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,0.06
North Korea,,,,,,,,,,,,,,,,18.746,19.518,19.122,20.325,21.281,22.196,21.722,20.896,22.518,20.488,21.036,18.736,18.761,17.932,17.492,13.424,16.564,14.617,15.147,15.774,,,,376.295
North Macedonia,,,,,,5.75,5.77,6.07,5.18,5.94,6.13,6.64,6.73,7.05,6.86,6.81,6.37,6.09,6.73,6.66,6.94,7.01,6.5,6.31,6.82,7.26,6.76,6.26,6.09,5.38,5.65,5.63,5.6,5.61,5.87,5.28,5.17,,198.92
Norway,103.292,97.284,104.283,110.02,119.197,121.46,110.46,117.01,119.61,112.2,122.13,104.57,110.38,116.31,122.15,142.43,121.16,130.12,106.59,109.98,137.1,121.09,135.94,141.02,130.9,123.1,126.21,146.55,133.27,140.95,143.07,148.13,148.41,145.84,134.08,150.7,148.74,,4655.736
Oman,2.888,3.617,3.884,4.408,4.707,4.501,4.625,5.113,5.833,6.198,6.5,6.802,7.318,8.2,8.413,8.564,9.153,9.711,10.071,10.809,11.889,13.258,13.317,14.879,16.754,18.63,20.562,23.516,24.667,27.381,30.797,32.178,33.962,35.411,36.949,,,,485.465
Pakistan,28.825,32.348,36.347,40.671,42.806,45.985,50.22,53.575,57.012,57.923,63.75,67.565,62.481,66.396,65.302,64.558,69.949,73.644,78.784,82.489,90.806,95.432,92.151,89.345,92.237,90.933,91.151,94.386,100.934,103.251,108.082,119.02,126.3,143.986,145.386,145.452,,,2869.482
Palestine,,,,,,,,,,,,,,,,0,0.033,0.14,0.321,0.371,0.47,0.324,0.392,0.4,0.47,0.445,0.535,0.433,0.502,0.317,0.475,0.465,0.472,0.34,0.295,,,,7.2
Panama,,,,,,,,,,,,,,,,4.766,4.943,5.147,5.384,5.606,5.665,5.862,6.328,6.241,6.732,7.151,7.559,8.358,8.68,8.991,10.023,10.605,10.792,10.994,11.344,,,,151.171
Papua New Guinea,,,,,,,,,,,,,,,,2.115,2.585,2.77,3.097,3.174,3.332,3.254,3.34,3.274,3.346,3.388,3.524,3.222,3.409,3.615,3.757,3.874,3.864,4.062,4.257,,,,67.259
Paraguay,,,,,,,,,,,,,,,,52.969,44.876,47.744,51.269,51.417,50.657,53.249,53.191,54.912,54.41,53.525,57.05,59.633,59.903,54.868,55.333,64.028,59.771,59.322,49.823,,,,1087.95
Peru,12.111,12.948,14.006,13.552,13.727,13.808,14.482,13.122,14.808,15.866,16.88,17.28,17.953,18.582,19.05,19.537,20.422,21.578,22.488,23.847,25.34,26.724,29.14,32.016,31.927,34.78,37.989,38.682,42.084,44.201,46.646,49.85,51.116,53.354,55.481,51.884,,,987.261
Philippines,22.766,20.974,22.642,24.539,25.573,26.327,25.649,25.87,26.579,30.459,33.554,36.707,39.797,41.578,41.432,43.66,45.208,46.525,50.674,53.646,54.188,54.505,57.08,58.31,59.317,64.669,66.121,69.688,71.844,73.724,78.637,86.587,90.002,94.514,100.381,98.293,,,1862.019
Poland,137.714,140.294,145.833,144.34,145.464,134.44,132.72,130.69,131.78,133.29,137.05,141.19,140.94,140.77,139.99,143.18,143.72,142.49,150.01,152.26,155.05,160.45,158.51,154.64,151.09,157,163.01,161.63,163.91,158.38,164.24,166.09,169.93,169.49,163.04,157.64,177.16,,5559.425
Portugal,18.9,20.355,20.135,22.489,25.808,28.33,29.72,29.61,30.99,31.33,33.15,34.41,34.14,38.91,42.91,43.38,46.17,45.65,46.52,44.82,46.18,48.57,46.89,45.48,49.48,53.69,51.88,45.57,50.53,51.96,51.27,59.13,57.7,58.41,51.73,51.96,49.19,,1537.347
Puerto Rico,,,,,,,,,,,,,,,,21.813,22.302,23.175,23.937,24.135,24.962,23.837,22.305,20.921,20.71,20.896,20.018,21.203,20.364,20.247,20.27,20.888,16.667,17.966,20.546,,,,427.162
Qatar,3.964,4.318,4.386,4.614,4.646,4.842,4.669,5.183,5.56,5.85,6.013,6.615,6.91,8.166,8.939,8.586,9.354,10.284,11.291,12.439,13.532,16.055,18.294,20.319,22.709,26.455,29.002,32.816,32.707,36.492,39.131,39.892,42.945,45.161,47.171,,,,599.31
Reunion,,,,,,,,,,,,,,,,1.941,2.098,2.076,2.165,2.389,2.499,2.534,2.586,2.688,2.779,2.85,2.893,2.959,2.958,2.991,3.051,3.074,3.067,3.077,3.181,,,,53.856
Romania,71.818,75.478,74.079,75.322,75.851,64.3,56.8,54.01,55.36,55.04,59.05,61.03,56.72,52.99,50.47,51.56,53.55,54.42,54.84,56.49,59.41,62.7,61.68,64.95,57.73,60.61,62,58.78,58.55,65.19,65.92,64.59,63.95,64.44,59.18,56.01,58.7,,2253.568
Russia,962,1001.4,1047.3,1065.5,1076.5,1082.2,1068.163,1008.45,956.587,875.914,860.027,847.183,834.131,827.158,846.225,831.822,841.487,845.251,867.233,884.48,900.066,940.689,959.151,983.302,938.547,981.691,997.765,1013.075,1002.612,1006.742,1009.381,1032.291,1035.283,1045.682,1058.466,1025.324,,,34559.078
Rwanda,,,,,,,,,,,,,,,,0.111,0.089,0.098,0.117,0.084,0.066,0.161,0.159,0.184,0.24,0.272,0.316,0.338,0.401,0.464,0.519,0.687,0.753,0.725,0.783,,,,6.567
Saint Helena,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.008,0.007,0.007,0.008,0.008,0.008,,,,0.15
Saint Kitts and Nevis,,,,,,,,,,,,,,,,0.094,0.094,0.103,0.119,0.122,0.125,0.127,0.157,0.167,0.173,0.185,0.189,0.2,0.206,0.206,0.203,0.212,0.202,0.198,0.196,,,,3.278
Saint Lucia,,,,,,,,,,,,,,,,0.26,0.269,0.269,0.281,0.29,0.304,0.311,0.325,0.331,0.341,0.358,0.362,0.362,0.36,0.357,0.359,0.369,0.377,0.378,0.384,,,,6.647
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,0.041,0.04,0.047,0.049,0.045,0.04,0.04,0.039,0.041,0.041,0.044,0.044,0.045,0.045,0.045,0.046,0.046,0.046,0.048,0.049,,,,0.881
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,0.09,0.094,0.097,0.103,0.114,0.126,0.127,0.134,0.132,0.132,0.136,0.132,0.132,0.135,0.134,0.139,0.145,0.142,0.143,0.142,,,,2.529
Samoa,,,,,,,,,,,,,,,,0.088,0.105,0.121,0.11,0.102,0.105,0.11,0.113,0.115,0.117,0.116,0.125,0.108,0.107,0.119,0.122,0.126,0.127,0.133,0.137,,,,2.306
Sao Tome and Principe,,,,,,,,,,,,,,,,0.028,0.024,0.03,0.031,0.035,0.039,0.04,0.043,0.045,0.049,0.054,0.056,0.061,0.067,0.072,0.078,0.082,0.085,0.087,0.09,,,,1.096
Saudi Arabia,51.654,55.685,65,70.091,75.73,79.88,84.996,93.473,102.669,106.046,109.928,112.167,119.104,126.168,130.999,118.62,125.653,133.233,143.82,150.282,165.557,170.548,179.103,191.948,204.057,225.663,235.072,271.391,284.031,316.273,337.494,345.592,355.61,355.478,361.462,,,,6054.477
Senegal,,,,,,,,,,,,,,,,1.44,1.689,1.794,1.904,1.995,2.275,2.281,2.467,2.587,2.658,2.825,2.882,3.148,3.306,3.653,3.891,4.167,4.473,4.514,4.696,,,,58.645
Serbia,,,,,,38.97,37.67,34.31,29.96,30.82,32.18,32.31,35.19,35.23,30.83,31.95,32.57,33.24,34.26,37.19,35.86,35.87,35.97,36.82,37.71,37.42,38.02,36.19,39.23,33.44,37.59,38.61,36.44,36.67,36.86,37.52,37.32,,1134.22
Seychelles,,,,,,,,,,,,,,,,0.178,0.18,0.205,0.21,0.212,0.217,0.237,0.255,0.253,0.259,0.283,0.377,0.39,0.409,0.419,0.436,0.411,0.427,0.433,0.433,,,,6.224
Sierra Leone,,,,,,,,,,,,,,,,0.089,0.131,0.148,0.135,0.112,0.078,0.039,0.057,0.135,0.129,0.163,0.172,0.173,0.16,0.182,0.196,0.21,0.219,0.26,0.274,,,,3.062
Singapore,9.876,10.576,11.814,13.018,14.039,15.618,16.597,17.543,18.962,20.675,22.057,23.909,26.709,28.375,29.52,29.005,32.05,33.53,34.201,35.559,36.838,38.029,39.64,40.262,40.372,42.71,43.329,44.198,45.175,46.506,47.488,48.672,49.347,50.055,51.164,49.976,,,1157.394
Slovakia,22.506,24.168,23.629,23.039,24.07,25.49,24.26,23.24,24.05,25.47,26.43,25.46,25.04,25.73,28.11,30.78,31.83,32.18,30.96,30.45,31.34,31.21,27.83,28.73,25.89,27.42,28.21,28.24,28.44,27.04,26.54,26.68,27.29,26.57,28.19,31.29,29.47,,1007.272
Slovenia,,,,,,12.44,12.74,12.34,11.95,12.89,12.9,13.05,13.18,13.72,13.26,13.61,14.48,14.6,13.83,15.27,15.11,15.11,15.04,16.41,16.39,16.26,15.92,15.55,15.8,17.15,14.8,16.23,16.05,16.12,15.89,16.91,15.56,,470.56
Solomon Islands,,,,,,,,,,,,,,,,0.058,0.059,0.06,0.059,0.059,0.07,0.072,0.082,0.082,0.082,0.084,0.086,0.082,0.088,0.091,0.095,0.102,0.105,0.106,0.109,,,,1.631
Somalia,,,,,,,,,,,,,,,,0.235,0.245,0.258,0.273,0.263,0.273,0.282,0.292,0.301,0.305,0.307,0.31,0.324,0.334,0.334,0.335,0.342,0.347,0.347,0.347,,,,6.054
South Africa,143.491,148.241,152.373,158.141,163.359,167.226,168.316,168.09,174.706,181.69,186.655,200.092,210.362,205.374,203.012,196.474,196.539,203.613,218.27,228.263,229.244,236.622,246.838,240.741,231.596,242.989,244.476,240.896,238.466,236.534,231.735,236.029,237.958,236.789,234.752,222.923,,,7462.875
South Korea,62.667,69.681,80.251,93.109,103.624,118.461,131.616,146.439,161.901,183.366,203.546,225.846,246.587,237.197,262.152,272.511,291.925,311.384,324.157,346.164,364.386,379.636,402.772,419.756,426.887,469.325,491.469,501.587,508.009,515.793,518.917,528.103,531.84,553.994,546.439,536.193,,,11567.69
South Sudan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.444,0.459,0.543,0.42,0.51,0.548,0.549,,,,3.891
Spain,126.562,128.537,132.665,138.759,147.055,151.21,154.75,156.69,155.46,160.9,165.6,173.37,189.14,193.39,205.63,220.92,233.07,239.91,257.3,273.65,284.46,295.26,301.53,310.67,291.53,298.15,291.37,293.77,281.47,274.94,277.48,271.19,272.9,271.88,270.89,263.75,272.27,,8428.078
Sri Lanka,2.465,2.652,2.707,2.798,2.858,3.15,3.377,3.54,3.979,4.387,4.8,4.528,5.144,5.675,6.281,6.453,6.531,6.798,7.419,7.889,8.938,8.424,9.506,9.613,9.606,10.441,11.196,11.36,11.665,11.958,12.714,13.665,14.716,14.845,15.824,,,,267.902
Sudan,,,,,,,,,,,,,,,,2.574,2.843,3.092,3.341,3.454,3.803,4.458,4.941,5.397,6.415,7.495,8.396,9.33,10.232,11.268,12.809,14.094,15.214,15.901,16.929,,,,161.986
Suriname,,,,,,,,,,,,,,,,1.397,1.416,1.431,1.444,1.457,1.518,1.563,1.563,1.564,1.566,1.681,1.886,1.895,1.917,1.928,1.943,1.908,1.875,1.889,1.871,,,,33.712
Sweden,137.14,138.651,146.571,146.23,143.091,145.98,146.97,145.93,145.26,142.7,148.28,140.61,149.21,158.79,154.84,145.23,161.6,146.7,135.39,151.69,158.37,143.28,148.82,149.9,136.6,148.45,150.28,166.43,153.03,153.55,162,155.89,164.23,163.36,168.42,164.2,173.11,,5590.783
Switzerland,56.338,57.41,59.734,60.536,54.611,56.015,58.062,59.518,61.556,66.134,62.863,57.328,62.902,63.288,68.617,64.369,69.239,63.686,63.606,62.109,56.178,60.32,64.595,65.197,64.843,64.633,61.482,66.696,67.157,68.581,64.707,59.857,58.981,64.887,69.251,68.673,,,2253.959
Syria,,,,,,,,,,,,,,,,23.899,25.313,26.487,27.932,30.394,33.088,35.277,36.53,38.738,40.835,43.791,39.545,33.169,23.814,20.1,16.957,17.19,17.378,17.188,17.265,,,,564.89
Taiwan,54.806,61.595,68.385,74.785,84.058,90.194,99.178,105.53,115.206,124.635,133.117,141.962,150.486,163.186,169.473,172.45,176.586,187.318,196.772,201.719,211.058,218.676,225.859,222.135,214.057,230.592,235.65,233.963,236.649,243.813,241.999,246.652,252.134,257.248,256.385,264.151,,,6362.462
Tajikistan,,,,,,,,,,,,,,,,13.983,14.229,15.142,16.336,16.319,16.92,16.768,17.323,16.989,15.958,16.269,16.074,16.801,16.941,15.99,16.982,17.03,17.884,19.477,20.394,19.906,,,353.715
Tanzania,,,,,,,,,,,,,,,,2.439,2.718,2.82,2.627,2.838,3.43,3.312,4.058,4.256,4.584,5.145,4.96,5.42,5.72,6.017,6.476,6.907,6.939,6.918,7.04,,,,94.624
Thailand,23.03,24.67,28.574,32.413,37.353,44.113,50.12,57.028,63.337,71.102,79.737,86.992,92.661,89.533,90.215,89.604,95.802,101.612,108.991,117.178,123.058,129.323,132.379,136.474,137.298,150.434,147.304,157.383,160.712,162.732,166.699,177.787,172.312,173.088,183.536,173.477,,,3868.061
Togo,,,,,,,,,,,,,,,,0.17,0.12,0.148,0.174,0.181,0.183,0.212,0.189,0.12,0.142,0.173,0.127,0.11,0.095,0.203,0.374,0.434,0.664,0.372,0.384,,,,4.575
Tonga,,,,,,,,,,,,,,,,0.03,0.037,0.038,0.042,0.044,0.045,0.046,0.048,0.05,0.051,0.049,0.048,0.049,0.048,0.049,0.049,0.052,0.054,0.055,0.057,,,,0.941
Trinidad and Tobago,3.023,3.291,3.481,3.485,3.428,3.577,3.72,3.976,3.817,4.069,4.307,4.541,4.988,5.169,5.247,5.133,5.307,5.307,6.052,6.046,6.638,6.745,7.22,7.271,7.378,7.98,8.246,8.584,8.935,9.302,9.682,9.411,9.336,8.672,8.335,,,,211.699
Tunisia,,,,,,,,,,,,,,,,9.964,10.714,11.135,11.676,12.293,12.976,13.281,12.921,13.505,14.346,14.955,15.339,16.795,17.076,17.872,18.353,18.49,19.172,19.524,19.989,19.447,,,319.823
Turkey,34.219,39.695,44.353,48.049,52.043,57.54,60.24,67.35,73.81,78.33,86.25,94.86,103.3,111.03,116.44,124.33,122.19,128.42,139.52,149.74,161.55,176.17,191.41,198.31,194.73,211.06,229.28,239.38,239.87,251.62,261.29,273.69,296.43,303.86,302.79,304.63,330.49,,5898.269
Turkmenistan,10.987,12.396,13.267,12.891,14.508,14.61,14.954,13.183,12.637,10.52,9.905,10.13,9.498,9.416,8.86,9.255,9.974,10.058,10.152,11.205,12.051,12.831,13.987,14.138,15.024,15.663,16.19,16.688,17.741,19.179,21.185,21.185,21.185,21.185,21.182,,,,487.82
Turks and Caicos Islands,,,,,,,,,,,,,,,,0.071,0.075,0.096,0.103,0.11,0.124,0.149,0.171,0.186,0.196,0.196,0.195,0.197,0.196,0.213,0.225,0.235,0.222,0.2,0.192,,,,3.352
U.S. Pacific Islands,,,,,,,,,,,,,,,,0.341,0.348,0.355,0.354,0.36,0.365,0.386,0.394,0.394,0.397,0.529,0.531,0.528,0.534,0.542,0.55,0.515,0.509,0.519,0.509,,,,8.96
Uganda,,,,,,,,,,,,,,,,1.587,1.583,1.712,1.8,1.937,1.953,1.571,1.964,2.314,2.399,2.845,2.739,2.199,2.9,3.331,3.165,4.045,4.23,4.453,4.869,,,,53.596
Ukraine,272,272.7,281.5,297.2,295.3,298.62,278.47,252.32,229.71,202.73,193.82,182.8,177.82,172.65,171.94,171.27,172.81,173.57,180.2,182.02,185.91,193.23,196.14,192.58,173.62,188.82,194.95,198.36,193.71,181.98,161.64,162.86,154.42,158.23,152.66,133.497,,,7282.057
United Arab Emirates,12.185,12.815,13.658,14.84,15.612,17.081,17.222,18.689,21.73,23.736,24.982,26.572,28.464,33.392,37.126,37.547,40.582,44.045,46.483,49.272,57.056,62.762,74.035,77.065,82.91,88.332,93.223,99.866,103.431,109.572,119.755,121.846,126.529,127.92,130.029,,,,2010.364
United Kingdom,298.089,301.071,302.112,308.825,314.585,317.76,321.34,319.34,321.67,325.02,332.48,349.32,349.19,361.08,365.25,374.38,382.37,384.6,395.46,391.29,395.42,393.44,392.98,384.84,373.08,378.91,365.06,360.89,355.38,335.21,335.34,336.28,335.1,330.5,321.65,307.46,305.5,,12822.272
United States,2657.15,2676.113,2772.205,2914.446,3155.45,3232.78,3270.724,3284.39,3404.678,3458.526,3567.331,3663.386,3716.377,3855.808,3936.098,3802.105,3736.644,3858.452,3883.185,3970.555,4055.423,4064.702,4156.745,4119.388,3950.331,4125.06,4100.141,4047.765,4065.964,4104.839,4091.74,4095.487,4058.261,4203.937,4161.834,4049.847,,,134267.867
United States Virgin Islands,,,,,,,,,,,,,,,,1.025,0.968,0.978,0.978,0.987,0.855,0.864,0.871,0.844,0.872,0.825,0.795,0.779,0.727,0.7,0.692,0.687,0.523,0.603,0.576,,,,16.149
